gid,name,logged_hours,n_entries,entry_first,entry_last,n_authors,n_tasks,n_completed,task_completed_first,task_completed_last,pct_activity_in_tracked_window,n_comp_with_date,in_tasks_raw
1209298164735103,AI for the Notre Dame Community,448.7,427,2025-02-20,2026-05-27,4,87,79,2025-02-09,2025-11-28,1.0,79,True
1208963580488220,Responsible and Ethical AI,278.63,495,2025-01-28,2025-12-26,4,154,151,2025-01-19,2026-01-05,1.0,151,True
1209213189516073,ASCEND Engineering,102.92,207,2025-01-28,2026-04-08,3,111,85,2025-01-27,2026-04-17,1.0,85,True
1209679644127773,Radio Systems Course,100.75,272,2025-03-14,2025-12-26,2,68,50,2025-03-17,2025-12-26,1.0,50,True
1208335647365619,Virtual Borders,75.75,16,2025-01-21,2026-05-20,2,47,19,2024-10-22,2025-02-27,1.0,19,True
1208255134984932,The Qur’an and the Bible (Gabriel Reynolds),74.58,116,2024-11-01,2025-06-11,2,44,42,2024-10-14,2025-06-29,1.0,42,True
1208335647365608,MSAN II,71.08,39,2025-01-22,2025-08-14,5,40,26,2024-10-25,2025-08-15,1.0,26,True
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,67.08,36,2025-05-12,2025-07-31,3,39,35,2025-05-15,2026-01-02,1.0,35,True
1207817115500015,EIH Lab Video Series,65.0,15,2024-09-11,2024-10-24,1,60,32,2024-07-25,2024-10-25,0.8438,32,True
1208981515547171,Radio Systems MVP,64.16,64,2024-12-17,2025-03-14,3,30,30,2025-02-04,2025-03-14,1.0,30,True
1212343204566399,ASCEND MCOB,62.0,42,2025-12-08,2026-05-08,3,50,19,2025-12-08,2026-05-08,1.0,19,True
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,49.25,12,2025-04-14,2025-07-27,2,34,12,2025-05-16,2025-07-27,1.0,12,True
1207942229848224,National Education Opportunities Network (NEON),46.24,100,2025-01-28,2026-01-23,2,39,32,2024-08-25,2025-12-26,1.0,32,True
1211653962736510,Business for Humans | Sheedy Family Program,38.75,30,2025-11-13,2026-05-08,2,32,9,2026-03-20,2026-04-29,1.0,9,True
1207967599155608,Online Pedagogy Course,38.17,26,2024-11-21,2025-02-14,2,20,20,2024-08-02,2025-03-10,0.9,20,True
1208878713359040,3D Environments Summer Online,35.17,100,2025-01-27,2025-12-01,2,106,66,2025-01-19,2026-01-02,1.0,66,True
1208622917750063,ACE Assessment Course Redesign,33.42,22,2025-01-24,2025-04-17,2,20,20,2025-02-04,2025-04-17,1.0,20,True
1207907772727914,ND Elevate Updates,32.33,19,2024-11-18,2025-01-29,2,18,18,2024-09-27,2025-03-10,1.0,18,True
1209417479528380,Videos for Eva,29.25,10,2025-02-14,2025-05-14,1,29,9,2025-02-17,2025-05-19,1.0,9,True
1207760971753716,FCTA - Physics I,29.17,14,2025-01-27,2025-10-30,5,22,10,2025-08-24,2026-01-07,1.0,10,True
1211134268245785,ACE Higher Powered Learning (HPL),26.0,7,2025-10-22,2025-11-20,1,29,18,2025-08-25,2026-01-09,1.0,18,True
1208659811898324,ODL Lookbook,22.28,4,2025-01-29,2025-02-12,1,4,4,2024-11-15,2025-05-15,1.0,4,True
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,19.5,6,2025-07-10,2025-08-08,2,27,13,2025-05-19,2025-08-11,1.0,13,True
1208255134985064,ODL Podcast,17.58,19,2024-11-18,2026-01-26,2,30,25,2024-09-19,2026-05-04,1.0,25,True
1213292120696339,NEON - POS 30022 (Poly Sci),16.75,15,2026-03-06,2026-06-02,2,61,1,2026-03-06,2026-03-06,1.0,1,True
1211900372320318,C2D: Cybertraining for Chemical Data scientists,16.5,13,2025-11-12,2026-04-09,1,31,18,2026-03-20,2026-05-14,1.0,18,True
1208878713359035,Calc I Summer Online,15.83,61,2025-01-28,2025-06-11,2,85,54,2025-01-19,2025-07-09,1.0,54,True
1208255134985069,Travel Safety 101,15.75,17,2024-10-09,2025-03-05,1,13,8,2024-11-05,2025-03-05,1.0,8,True
1208875960377620,Program for Inclusive Education (PIE) Video #2,15.5,9,2025-01-27,2025-02-06,3,12,11,2025-01-10,2025-02-06,1.0,11,True
1208344673489500,MSAN Asset Spreadsheet,15.12,9,2025-02-11,2025-02-14,1,27,27,2025-01-23,2025-04-28,1.0,27,True
1207816481565083,Gen Chem Intro Video,13.5,4,2024-08-19,2024-08-20,1,10,10,2024-08-07,2024-08-21,0.4,10,True
1212638027964018,Ultrasound Communication Video,12.75,14,2026-03-13,2026-06-01,2,51,2,2026-04-30,2026-06-01,1.0,2,True
1212627165986472,Borgo Laudato Si' videos,12.0,8,2026-02-02,2026-05-04,1,32,7,2026-03-30,2026-05-06,1.0,7,True
1213478777903328,Media Studio Sessions,9.25,5,2026-01-28,2026-03-25,1,1,0,,,,0,True
1212638028070139,CIF Video,9.0,3,2026-04-16,2026-04-29,2,21,14,2026-04-29,2026-04-29,1.0,14,True
1209243150458199,PIE Video #3,8.0,5,2025-01-29,2025-03-26,2,28,15,2025-01-27,2025-04-30,1.0,15,True
1208014741125322,MSAN,8.0,6,2025-02-14,2025-04-25,2,60,60,2024-08-09,2025-08-18,0.7667,60,True
1214795652576790,Maximizing Mendoza,6.5,5,2026-05-19,2026-05-21,1,36,4,2026-05-13,2026-05-13,1.0,4,True
1211900373500710,I CAN HELP Learning Modules,6.0,4,2025-12-03,2026-01-22,1,21,9,2025-10-16,2026-01-22,1.0,9,True
1207817115500019,Equity XR,6.0,3,2025-02-12,2025-03-21,1,13,13,2024-10-07,2025-04-02,1.0,13,True
1209419538333955,Insect Podcast Consult,5.17,12,2025-02-19,2025-04-07,1,25,13,2025-02-19,2025-04-05,1.0,13,True
1211489930659695,MS-ACMS Faculty Videos,5.0,2,2025-10-28,2025-10-29,1,25,25,2025-09-29,2025-12-15,1.0,25,True
1211360177216098,Summer Online 2026,5.0,2,2026-05-19,2026-05-21,1,2,0,,,,0,True
1209741238247552,Political Science SO Course,4.42,11,2025-03-21,2025-04-10,1,35,5,2025-03-21,2025-04-24,1.0,5,True
1209213189516064,ASCEND Engineering II,3.5,1,2025-01-24,2025-01-24,1,32,3,2025-01-24,2025-02-10,1.0,3,True
1207728646024488,AI Video Series,3.0,4,2024-08-30,2024-08-30,1,76,76,2024-07-05,2024-11-04,0.3816,76,True
1208335646825701,Michael's PM Tasks,2.75,3,2025-01-13,2025-01-13,1,27,7,2024-09-18,2024-09-18,1.0,7,True
1208031566113859,FCTA - Calculus I,2.75,4,2025-07-10,2025-07-18,1,11,5,2024-09-06,2025-07-11,1.0,5,True
1207984230724068,Summer Online 2025,1.5,8,2025-01-24,2025-03-02,1,20,8,2025-02-04,2025-03-14,1.0,8,True
1209897970646083,Multimedia Writing and Rhetoric,1.25,3,2025-03-24,2025-04-14,1,21,17,2025-06-09,2025-06-27,1.0,17,True
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,1.0,1,2025-07-10,2025-07-10,1,30,8,2025-06-23,2025-07-13,1.0,8,True
1209877147787619,Study Abroad,1.0,1,2025-07-10,2025-07-10,1,28,24,2025-06-20,2025-08-14,1.0,24,True
1207760971753765,XR Spanish Escape Room,1.0,1,2025-01-27,2025-01-27,1,21,15,2024-07-15,2024-12-09,0.6,15,True
1207473416887601,Sprint: Interactive (Elena),1.0,1,2024-08-30,2024-08-30,1,14,11,2024-06-03,2024-09-09,0.6364,11,True
1209484413612062,ECG Videos,0.42,2,2025-02-24,2025-03-03,1,33,2,2025-03-03,2025-03-14,1.0,2,True
